word,frequency,length
metres,2,6
rising,68,6
slowly,132,6
automaton,7,9
her,3234,3
counter,63,7
picked,86,6
receiver,21,8
really,320,6
offered,95,7
back,1077,4
cogs,5,4
working,177,7
together,292,8
fitting,26,7
where,1011,5
needed,210,6
agnes,11,5
now,1488,3
fully,93,5
dressed,45,7
went,552,4
hall,170,4
supplement,29,10
person,204,6
night,586,5
each,948,4
additional,128,10
minimum,81,7
persons,128,7
obtain,48,6
certificate,17,11
posting,8,7
available,268,9
free,354,4
charge,146,6
modernization,22,13
industrialization,11,17
nineteenth,67,10
century,284,7
britain,72,7
changed,127,7
population,162,10
map,22,3
pallister,10,9
rivals,11,6
steve,21,5
bruce,24,5
manchester,55,10
united,503,6
stuart,25,6
pearce,8,6
nottingham,10,10
forest,76,6
paul,54,4
mcgrath,10,7
aston,10,5
villa,16,5
gary,15,4
lineker,10,7
spurs,13,5
ray,53,3
houghton,21,8
liverpool,18,9
company,357,7
didn,409,4
learn,102,5
anything,295,8
lesson,46,6
uninterrupted,16,13
view,198,4
prospect,41,8
what,2121,4
glorious,23,8
stretching,32,10
far,483,3
miles,198,5
every,512,5
years,1044,5
before,1108,6
ta,6,2
soldiers,73,8
met,156,3
army,176,4
open,363,4
day,821,3
orthodox,37,8
judaism,12,7
continues,51,9
teach,47,5
elaborate,40,9
separation,27,10
menstruating,8,12
contact,85,7
men,826,3
family,385,6
recent,190,6
architectural,14,13
survey,57,6
revealed,49,8
problems,273,8
salutation,7,10
church,402,6
road,275,4
fireplace,27,9
question,287,8
set,452,3
huge,72,4
thick,85,5
wall,203,4
partly,51,6
divided,64,7
main,168,4
room,447,4
brave,32,5
start,173,5
afresh,4,6
garden,71,6
sure,279,4
test,138,4
design,150,6
talents,32,7
won,183,3
popularity,23,10
as,7764,2
result,277,6
military,253,8
victories,11,9
peninsula,15,9
just,985,4
major,280,5
reputation,34,10
enhanced,9,8
gulf,29,4
war,531,3
eec,8,3
banned,6,6
bst,8,3
until,484,5
further,242,7
research,200,8
completed,86,9
deliberate,23,10
emphasis,83,8
young,422,5
unreliable,12,10
hurtful,8,7
past,310,4
relationships,43,13
poses,5,5
dilemma,35,7
residential,51,11
workers,111,7
see,864,3
either,326,6
go,717,2
dersingham,10,10
himself,619,7
distinction,57,11
drawn,85,5
between,858,7
existence,113,9
licence,2,7
ceasing,6,7
turn,271,4
public,484,6
gardens,42,7
create,68,6
attraction,17,10
instead,192,7
eyesore,10,7
hawke,6,5
week,317,4
repeated,64,8
support,203,7
airlines,13,8
recruiting,6,10
pilots,20,6
overseas,24,8
re,375,2
hiring,12,6
former,148,6
individual,258,10
contracts,31,9
february,59,8
councillors,2,11
refused,82,7
allow,90,5
variation,44,9
hours,198,5
nine,124,4
schools,210,7
midlands,9,8
leas,5,4
identified,60,10
depth,63,5
questionnaire,49,13
claim,133,5
neutrality,9,10
seen,305,4
must,1053,4
sham,5,4
damage,41,6
done,344,4
judicial,22,8
system,474,6
trees,140,5
vegetation,11,10
animals,77,7
mechanical,44,10
creations,10,9
mirage,16,6
enterprises,20,11
say,551,3
think,496,5
though,466,6
could,1691,5
even,1191,4
scripted,4,8
ncr,6,3
sun,150,3
hp,11,2
decstation,6,10
ibm,13,3
hosts,7,5
sequel,7,6
arises,16,6
hook,11,4
barrie,4,6
esque,4,5
determination,50,13
usurp,5,5
modern,216,6
fear,147,4
child,280,5
within,379,6
looked,399,6
tired,56,5
face,431,4
invite,21,6
closest,31,7
honest,60,6
feedback,12,8
degree,147,6
diplomacy,27,9
exhibit,29,7
little,875,6
scope,29,5
seemingly,28,9
no,2355,2
consideration,55,13
contract,75,8
valuer,4,6
principal,102,9
oh,130,2
so,2142,2
bad,162,3
charles,110,7
feebly,6,6
programme,6,9
ended,69,5
dropped,107,7
onto,64,4
fire,234,4
chorus,28,6
rest,183,4
alf,12,3
unclean,20,7
john,429,4
taylor,33,6
itinerant,9,9
craftsman,9,9
came,644,4
oxford,29,6
recast,8,6
bells,18,5
loughborough,10,12
going,461,5
about,1971,5
tweed,18,5
necessary,258,9
suggest,62,7
devoted,59,7
item,62,4
separate,91,8
meeting,184,7
originally,44,10
published,97,9
american,614,8
mifflin,8,7
truth,146,5
single,238,6
agent,55,5
affects,27,7
our,1351,3
planet,34,6
glass,137,5
exploded,12,8
shattered,18,9
all,3320,3
storm,40,5
wind,74,4
rain,95,4
blasted,6,7
down,973,4
corridor,33,8
lay,162,3
participation,53,13
running,134,7
service,350,7
reduced,95,7
community,266,9
health,207,6
councils,14,8
created,92,7
represent,46,9
borrowers,7,9
mrs,555,3
clothier,8,8
advance,68,7
silverdale,9,10
avenue,55,6
walton,18,6
thames,12,6
rachel,52,6
sat,164,3
tense,21,5
silence,69,7
beside,87,6
detestable,4,10
damian,8,6
flint,12,5
fat,74,3
couples,16,7
vacation,54,8
plaids,6,6
bouncing,21,8
toddlers,6,8
low,232,3
g,122,1
cooing,10,6
moondirt,9,8
souvenir,13,8
jewellery,3,9
presidential,42,12
initially,28,9
appeared,143,8
designed,139,8
supplant,5,8
cpsu,6,4
central,189,7
committee,178,9
